SLA (m)  	SSH (m)  	lat (degrees_north)  	
-0.0080000002	28.0979999998	-54.230496	
-0.0387000001	28.2072999999	-54.191286	
0.0545	28.4741	-54.152041	
-0.0011	28.6028	-54.112763	
0.0254999999	28.8008999999	-54.07345	
-0.0143000001	28.9588999999	-54.034103	
0.0232000001	29.2287000001	-53.994723	
0.0364	29.4135	-53.955308	
-0.0279	29.4321	-53.91586	
-0.1008	29.4639	-53.876379	
-0.0553000001	29.6158999999	-53.836863	
-0.0798	29.7034	-53.797315	
-0.1476999999	29.8111000001	-53.757733	
-0.0893999998	30.0583000002	-53.718118	
-0.0071999998	30.2855000002	-53.67847	
-0.1294	30.2788	-53.63879	
-0.0666	30.4661	-53.599076	
-0.0747000002	30.5732999998	-53.55933	
-0.0528	30.6768	-53.519551	
-0.0872000001	30.7414999999	-53.479739	
-0.102	30.851	-53.439895	
-0.0506000001	31.0513999999	-53.400019	
-0.0818999999	31.1906000001	-53.360111	
-0.0869	31.408	-53.320171	
-0.0692999998	31.7001000002	-53.280198	
-0.0212	32.0354	-53.240194	
0.0467000001	32.3698000001	-53.200158	
0.0047	32.5715	-53.16009	
0.0440000001	32.8133000001	-53.119991	
0.0983000001	33.0098000001	-53.07986	
-0.0546000001	32.9699999999	-53.039699	
0.0314999999	33.1658999999	-52.999505	
0.0133	33.2608	-52.959281	
0.0195	33.4089	-52.919025	
0.0354	33.5641	-52.878739	
0.0075	33.5838	-52.838422	
-0.1179	33.4212	-52.798074	
-0.0167	33.4273	-52.757695	
0.0206000002	33.3440000002	-52.717286	
0.0518000001	33.2877000001	-52.676846	
0.0257	33.2063	-52.636376	
0.0946000001	33.3242000001	-52.595876	
0.0733999999	33.4885999999	-52.555346	
0.0426	33.7235	-52.514785	
0.0875999999	34.0290999999	-52.474195	
0.0708999998	34.2385999998	-52.433575	
0.0952999999	34.4483999999	-52.392925	
0.0864000001	34.5990000001	-52.352245	
0.0988	34.7003	-52.311536	
0.0798	34.7355	-52.270797	
0.0589	34.734	-52.230029	
0.0298	34.6903	-52.189232	
0.1036	34.7186	-52.148405	
0.0735	34.6209	-52.107549	
0.1972999999	34.6409999999	-52.066665	
0.1931000002	34.5345000002	-52.025751	
0.1049000002	34.3721000002	-51.984809	
0.0360999999	34.2352999999	-51.943838	
0.1167999999	34.2393999999	-51.902838	
0.0932000001	34.1635000001	-51.861809	
0.0823999999	34.1433999999	-51.820753	
0.0141	34.0713	-51.779668	
-0.0041000001	34.0487999999	-51.738554	
-0.0161000001	34.0417999999	-51.697413	
0.0737999999	34.1831999999	-51.656243	
-0.025	34.15	-51.615045	
0.0438	34.2053	-51.57382	
-0.0033	34.0791	-51.532567	
0.1443	34.1716	-51.491286	
0.0067	33.9731	-51.449977	
-0.0023999999	33.9182000001	-51.408641	
-0.0228000001	33.8119999999	-51.367277	
0.0472000001	33.8095000001	-51.325886	
0.0905	33.7781	-51.284468	
0.001	33.6341	-51.243022	
0.0111999999	33.6257999999	-51.201549	
-0.0104	33.5893	-51.16005	
0.0695000001	33.6820000001	-51.118523	
0.0757	33.7152	-51.07697	
0.009	33.6521	-51.035389	
0.0700999998	33.6959999998	-50.993782	
0.1549000001	33.7447000001	-50.952149	
0.0383	33.5621	-50.910489	
0.1387000001	33.6015000001	-50.868803	
0.077	33.5104	-50.82709	
0.0677000001	33.4799000001	-50.785351	
0.1737	33.5777	-50.743586	
0.1206999999	33.5242999999	-50.701794	
0.0815	33.4844	-50.659977	
0.2001999998	33.6052999998	-50.618134	
0.0368000001	33.4474000001	-50.576265	
-0.0203000001	33.4281999999	-50.53437	
0.0929000001	33.6212000001	-50.49245	
-0.0739	33.531	-50.450504	
0.0222000002	33.6845000002	-50.408532	
-0.0382000001	33.6624999999	-50.366535	
-0.0947999999	33.5970000001	-50.324513	
-0.0052	33.6741	-50.282465	
-0.0723	33.586	-50.240392	
-0.1288999999	33.4832000001	-50.198294	
-0.1303	33.4333	-50.156172	
-0.1518	33.3693	-50.114024	
-0.1599	33.3428	-50.071851	
-0.1905999999	33.3297000001	-50.029653	
-0.1483000001	33.4183999999	-49.987431	
-0.2664999999	33.3504000001	-49.945184	
-0.2565999999	33.4080000001	-49.902913	
-0.1943	33.5063	-49.860617	
-0.2210000001	33.4923999999	-49.818296	
-0.218	33.5064	-49.775952	
-0.1892999998	33.5698000002	-49.733583	
-0.1346	33.6454	-49.69119	
-0.1999999999	33.5606000001	-49.648773	
-0.2014	33.5135	-49.606331	
-0.1385999998	33.5056000002	-49.563866	
-0.078	33.4913	-49.521377	
-0.0262	33.4996	-49.478864	
-0.0993999999	33.4065000001	-49.436328	
-0.0526	33.412	-49.393768	
0.0258	33.4489	-49.351184	
-0.0384000001	33.3674999999	-49.308577	
-0.1044	33.2901	-49.265946	
-0.1390000001	33.2256999999	-49.223292	
-0.1567999999	33.1546000001	-49.180615	
-0.0796	33.1833	-49.137914	
-0.0513	33.1976	-49.095191	
-0.0413000002	33.2304999998	-49.052444	
-0.0894999999	33.2155000001	-49.009674	
-0.0954	33.2581	-48.966882	
-0.0783000001	33.3267999999	-48.924066	
-0.1282999999	33.3044000001	-48.881228	
-0.1287000001	33.2925999999	-48.838367	
-0.1068000001	33.2871999999	-48.795484	
-0.2042000001	33.1957999999	-48.752578	
-0.2452000001	33.1494999999	-48.709649	
-0.2164	33.0645	-48.666698	
-0.1768	32.946	-48.623725	
